"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2020-09-26","92.7","-1.71","5.78","Anthony Rizzo",519203,641540,"field_out","hit_into_play",,,,,"5","Anthony Rizzo grounds out sharply, second baseman Nick Madrigal to first baseman Jose Abreu.  ","R","L","R","CWS","CHC","X",4,"ground_ball",2,2,2020,"-0.92","0.26","0.00","2.34","null","null","null",1,1,"Top","172.59","128.42",,,"543510",,"null",6.393937379428165,-134.6921935857948,-3.458997680856197,-12.64472521383832,34.046973408605346,-28.439446446078676,"3.57","1.69","12","102.4","-12","92.0","2038","6.4",631487,641540,"543510","547989","663611","660162","641313","641553","673357","608577","54.14","0.186","0.167","0.00",1,0,0,2,2,"5","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FF","2020-09-25","96.6","-1.95","6.33","Anthony Rizzo",519203,622772,"field_out","hit_into_play",,,,,"12","Anthony Rizzo grounds out, shortstop Tim Anderson to first baseman Jose Abreu.  ","R","L","R","CWS","CHC","X",6,"ground_ball",0,1,2020,"-0.38","1.24","1.04","2.84","null","null","null",0,7,"Top","131.26","160.78",,,"518735",,"null",8.888989971002964,-140.4527924982791,-6.651430336954282,-6.812357454244292,27.489803745734925,-14.407055691733124,"3.57","1.70","101","43.4","51","97.8","2336","6.7",631486,622772,"518735","547989","663611","660162","641313","641553","673357","608577","53.78","0.079","0.071","0.00",1,0,0,1,51,"2","4-Seam Fastball",0,7,7,0,7,0,7,0,"Infield shift","Standard"
"FF","2020-09-23","91.0","-1.64","5.24","Anthony Rizzo",519203,592866,"field_out","hit_into_play",,,,,"9","Anthony Rizzo grounds out to first baseman Colin Moran.  ","R","L","R","PIT","CHC","X",3,"ground_ball",3,1,2020,"-0.39","1.11","0.45","2.07","null","null","null",2,5,"Top","161.55","160.34",,,"607732",,"null",6.13327644584778,-132.3882974881275,-4.514888798940351,-5.789837802939513,26.544888430035193,-18.28641105591781,"3.49","1.60","9","76.4","-15","92.1","2402","6.8",631089,592866,"607732","592567","624428","663647","570481","595375","666931","570256","53.66","0.071","0.064","0.00",1,0,0,2,36,"5","4-Seam Fastball",2,1,1,2,1,2,1,2,"Infield shift","Standard"
"FF","2020-09-21","93.6","2.71","6.17","Anthony Rizzo",519203,656354,"single","hit_into_play_no_out",,,,,"1","Anthony Rizzo singles on a ground ball to left fielder Jose Osuna.  ","R","L","L","PIT","CHC","X",7,"ground_ball",0,2,2020,"0.94","1.32","-0.41","3.48","null","null","null",2,8,"Top","75.04","109.03",,,"607732",,"null",-10.118994086165866,-135.91002897705394,-4.1129097785259905,13.833799168667,29.538962270779983,-15.065592362490909,"3.55","1.73","49","89.3","-1","93.7","2266","6.4",631087,656354,"607732","592567","624428","663647","570481","591741","668804","570256","54.05","0.221","0.199","0.90",1,1,0,2,54,"3","4-Seam Fastball",0,2,2,0,2,0,2,0,"Infield shift","Standard"
"SI","2020-09-21","95.2","-2.41","6.12","Anthony Rizzo",519203,664141,"grounded_into_double_play","hit_into_play",,,,,"4","Anthony Rizzo grounds into a double play, second baseman Adam Frazier to shortstop Erik Gonzalez to first baseman Colin Moran.   Ian Happ out at 2nd.    Anthony Rizzo out at 1st.  ","R","L","R","PIT","CHC","X",4,"ground_ball",1,2,2020,"-1.37","0.85","-0.46","2.49","null","null",664023,0,1,"Top","136.07","179.88",,,"607732",,"null",8.124622188369315,-138.3674489144356,-5.717415029097086,-19.382085855022694,32.292502290969026,-20.164592423057687,"3.55","1.73","61","98.9","2","94.4","2391","6.0",631087,664141,"607732","592567","624428","663647","570481","591741","668804","570256","54.52","0.414","0.373","0.00",1,0,0,4,2,"4","Sinker",0,0,0,0,0,0,0,0,"Strategic","Standard"
"SI","2020-09-20","93.8","-3.79","5.25","Anthony Rizzo",519203,621244,"field_out","hit_into_play",,,,,"8","Anthony Rizzo grounds out sharply, second baseman Marwin Gonzalez to first baseman LaMonte Wade.  ","R","L","R","CHC","MIN","X",4,"ground_ball",2,1,2020,"-1.59","0.77","-0.03","1.83","null","null","null",2,5,"Bot","158.72","146.87",,,"641598",,"null",13.25475033446745,-135.93252959364264,-4.794549137745223,-22.629761611941028,29.753711411454283,-21.697600723962534,"3.56","1.73","85","110.9","2","93.9","2105","6.6",631617,621244,"641598","664774","503556","518626","593871","592696","595909","596146","53.93","0.550","0.495","0.00",1,0,0,4,42,"4","Sinker",0,2,0,2,2,0,0,2,"Infield shift","Strategic"
"CH","2020-09-20","84.5","-3.92","5.41","Anthony Rizzo",519203,621244,"field_out","hit_into_play",,,,,"8","Anthony Rizzo bunt grounds out softly, pitcher Jose Berrios to first baseman LaMonte Wade.  ","R","L","R","CHC","MIN","X",1,"ground_ball",1,1,2020,"-0.94","0.69","-0.07","2.18","null","null","null",1,1,"Bot","118.32","185.50",,,"641598",,"null",10.862100414393144,-122.55663249034642,-2.50936942785319,-11.643142855091812,23.811942824221806,-24.935315975595813,"3.56","1.73","5","44.7","-37","84.7","1417","6.6",631617,621244,"641598","664774","503556","518626","593871","592696","595909","596146","53.93","0.150","0.135","0.00",1,0,0,1,9,"3","Changeup",0,1,0,1,1,0,0,1,"Infield shift","Strategic"
"KC","2020-09-19","81.3","-2.17","5.74","Anthony Rizzo",519203,608648,"field_out","hit_into_play",,,,,"8","Anthony Rizzo grounds out to first baseman Miguel Sano.  ","R","L","R","CHC","MIN","X",3,"ground_ball",1,1,2020,"0.53","-1.11","-0.14","1.65","null","null","null",0,6,"Bot","165.09","150.48",,,"680777",,"null",3.545509311632381,-118.37547266101399,-0.4409115509713415,4.2997072371235525,22.997121988362625,-42.72724155125013,"3.56","1.73","11","91.2","-11","81.7","2438","6.6",631632,608648,"680777","593934","503556","501303","593871","664774","621439","596146","53.91","0.164","0.148","0.00",1,0,0,2,43,"3","Knuckle Curve",1,2,1,2,2,1,1,2,"Infield shift","Strategic"
"CU","2020-09-18","72.3","1.28","6.00","Anthony Rizzo",519203,448179,"field_out","hit_into_play",,,,,"11","Anthony Rizzo grounds out, second baseman Marwin Gonzalez to first baseman Miguel Sano.  ","R","L","L","CHC","MIN","X",4,"ground_ball",1,2,2020,"-1.51","-1.08","-1.44","2.76","null","null","null",2,5,"Bot","151.45","146.26",,,"641598",,"null",-2.837626712592762,-105.15557101936989,2.932328607408895,-10.544610947876293,20.49341308036902,-40.893699414869936,"3.56","1.73","7","77.7","-25","71.7","2851","6.2",631629,448179,"641598","593934","503556","518626","593871","592696","621439","595909","54.33","0.071","0.064","0.00",1,0,0,2,37,"4","Curveball",1,0,1,0,0,1,1,0,"Strategic","Standard"
"FC","2020-09-16","89.1","-0.66","5.98","Anthony Rizzo",519203,650644,"grounded_into_double_play","hit_into_play",,,,,"5","Anthony Rizzo grounds into a double play, shortstop Francisco Lindor to third baseman Jose Ramirez to first baseman Carlos Santana.   Kris Bryant out at 2nd.    Anthony Rizzo out at 1st.  ","R","L","R","CHC","CLE","X",6,"ground_ball",3,2,2020,"0.25","0.78","0.20","2.61","null","null",592178,0,5,"Bot","133.02","140.61",,,"595978",,"null",1.5857306001356055,-129.85290504622378,-3.9512044118581606,2.5117735965563517,25.282699218509144,-22.708482573008325,"3.56","1.73","97","104.9","4","89.3","2408","6.1",631619,650644,"595978","467793","644374","608070","596019","640458","592261","656669","54.36","0.621","0.559","0.00",1,0,0,4,40,"6","Cutter",2,2,2,2,2,2,2,2,"Infield shift","Standard"
"SI","2020-09-15","92.4","2.61","5.21","Anthony Rizzo",519203,424144,"single","hit_into_play_no_out",,,,,"5","Anthony Rizzo singles on a ground ball to center fielder Delino DeShields.   Kris Bryant to 3rd.  ","R","L","L","CHC","CLE","X",8,"ground_ball",1,2,2020,"1.73","0.51","-0.24","2.61","null","null",592178,1,9,"Bot","119.69","127.90",,,"506702",,"null",-11.042721051345254,-134.08054330694142,-1.8644964001663036,23.309048521255907,30.544339001095672,-25.77908921929362,"3.56","1.73","79","93.8","3","92.2","2074","6.5",631618,424144,"506702","467793","502273","608070","596019","647304","592261","571980","54.04","0.514","0.463","0.90",1,1,0,4,78,"5","Sinker",5,5,5,5,5,5,5,5,"Infield shift","Strategic"
"CH","2020-09-15","88.6","-1.50","5.51","Anthony Rizzo",519203,471911,"field_out","hit_into_play",,,,,"13","Anthony Rizzo grounds out, shortstop Francisco Lindor to first baseman Carlos Santana.  ","R","L","R","CHC","CLE","X",6,"ground_ball",1,1,2020,"-0.62","0.27","-0.45","1.16","null","null","null",2,3,"Bot","146.18","130.56",,,"547379",,"null",3.911162787716147,-129.10001238418002,-5.249092081718442,-7.749046733317231,23.873029156593503,-28.322583994648348,"3.56","1.73","6","99.5","-14","89.8","1203","6.7",631618,471911,"547379","467793","502273","608070","596019","647304","592261","571980","53.80","0.143","0.129","0.00",1,0,0,2,24,"3","Changeup",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"CU","2020-09-13","44.4","-1.58","6.46","Anthony Rizzo",519203,606115,"field_out","hit_into_play",,,,,"7","Anthony Rizzo grounds out, shortstop Luis Urias to first baseman Jedd Gyorko.  ","R","L","R","MIL","CHC","X",6,"ground_ball",0,1,2020,"0.23","1.37","-0.74","1.59","null","null",664023,2,9,"Top","113.18","145.97",,,"641924",,"null",0.7707426361827957,-64.33250567603432,4.577475176819545,0.56135798479082,6.411032450245078,-29.029544106656836,"3.42","1.60","39","90.4","-1","43.3","1159","5.0",631286,606115,"641924","576397","669374","519299","649966","607054","621438","592325","55.53","0.207","0.186","0.00",1,0,0,2,73,"2","Curveball",0,12,12,0,12,0,12,0,"Infield shift","Standard"
"SI","2020-09-11","93.8","-1.55","5.95","Anthony Rizzo",519203,605540,"fielders_choice","hit_into_play_no_out",,,,,"4","Anthony Rizzo reaches on a fielder's choice, fielded by second baseman Keston Hiura.   Ian Happ to 2nd.  ","R","L","R","MIL","CHC","X",4,"ground_ball",2,0,2020,"-1.09","0.95","-0.82","2.30","null","null",664023,1,6,"Top","156.58","158.17",,,"641924",,"null",4.355781918397526,-136.5437502369826,-5.889894989905757,-14.654011045032906,29.107192569513373,-19.201774015466103,"3.55","1.73","55","84.7","2","94.6","2150","6.7",631284,605540,"641924","576397","669374","649966","606115","592885","541645","621438","53.81","0.329","0.296","0.00",1,0,0,2,41,"3","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FF","2020-09-11","96.8","-1.40","5.88","Anthony Rizzo",519203,605540,"field_out","hit_into_play",,,,,"6","Anthony Rizzo grounds out, third baseman Luis Urias to first baseman Jedd Gyorko.  ","R","L","R","MIL","CHC","X",5,"ground_ball",2,2,2020,"-0.85","1.43","0.39","2.53","null","null","null",0,4,"Top","107.24","151.95",,,"641924",,"null",6.740398048139776,-140.76689088799407,-6.7191191825682015,-12.790886308668007,31.405845814741497,-11.738078230811148,"3.55","1.73","96","62.5","10","97.6","2372","6.7",631284,605540,"641924","576397","669374","649966","606115","592885","541645","621438","53.76","0.179","0.161","0.00",1,0,0,2,24,"6","4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CU","2020-09-10","77.5","-1.28","5.95","Anthony Rizzo",519203,592804,"single","hit_into_play_no_out",,,,,"4","Anthony Rizzo singles on a ground ball to right fielder Nick Castellanos.  ","R","L","R","CHC","CIN","X",9,"ground_ball",0,2,2020,"0.52","-1.41","-0.40","2.44","null","null","null",1,6,"Bot","147.47","140.10",,,"663886",,"null",0.9342835545525534,-112.79449402661538,2.0772678640792988,4.191796201525333,22.6930846995017,-44.7331727915246,"3.56","1.73","63","95.4","2","77.3","2847","6.4",631634,592804,"663886","458015","520471","553993","676480","673451","571718","592206","54.14","0.443","0.399","0.90",1,1,0,4,57,"3","Curveball",7,3,7,3,3,7,7,3,"Infield shift","Standard"
"CH","2020-09-10","85.7","-1.43","5.85","Anthony Rizzo",519203,547179,"field_out","hit_into_play_score",,,,,"13","Anthony Rizzo grounds out, shortstop Jose Garcia to first baseman Joey Votto.   Ian Happ scores.    Kris Bryant to 3rd.  ","R","L","R","CHC","CIN","X",6,"ground_ball",2,2,2020,"-1.65","0.87","-1.31","1.67",664023,592178,"null",1,4,"Bot","120.03","160.68",,,"663886",,"null",3.588991524468388,-124.62227238941612,-5.299008300495474,-17.90503502719502,25.895892015507453,-22.276397384429835,"3.56","1.73","7","64.7","-17","85.2","2171","6.1",631634,547179,"663886","458015","519058","553993","676480","673451","571718","592206","54.43","0.079","0.071","0.00",1,0,0,2,38,"6","Changeup",4,3,4,3,3,4,4,3,"Strategic","Standard"
"CH","2020-09-09","90.0","-1.90","5.41","Anthony Rizzo",519203,628452,"field_out","hit_into_play",,,,,"7","Anthony Rizzo grounds out, first baseman Joey Votto to pitcher Raisel Iglesias.  ","R","L","R","CHC","CIN","X",3,"ground_ball",1,2,2020,"-1.55","0.27","-0.74","2.01","null","null","null",1,9,"Bot","153.01","160.74",,,"571466",,"null",6.15710558794618,-130.90488621654123,-3.0319133102247235,-19.132061255727084,28.340923610077894,-28.573248164988037,"3.57","1.73","5","92.3","-22","89.6","2099","6.1",631616,628452,"571466","458015","520471","553993","571657","673451","571718","592206","54.37","0.143","0.133","0.00",1,0,0,2,64,"7","Changeup",0,3,0,3,3,0,0,3,"Infield shift","Strategic"
"KC","2020-09-09","79.8","-1.35","5.89","Anthony Rizzo",519203,545333,"field_out","hit_into_play",,,,,"8","Anthony Rizzo grounds out softly, pitcher Trevor Bauer to first baseman Joey Votto.  ","R","L","R","CHC","CIN","X",1,"ground_ball",2,2,2020,"0.65","-1.82","-0.04","1.79","null","null","null",0,7,"Bot","125.49","195.93",,,"571466",,"null",1.669439196604076,-115.98796165171574,1.3496198848395342,5.3438247823166245,27.276541959083627,-48.87425853180948,"3.57","1.73","3","55.6","-66","79.1","3019","6.4",631616,545333,"571466","458015","519058","553993","520471","673451","571718","592206","54.07","0.236","0.212","0.00",1,0,0,1,48,"6","Knuckle Curve",0,3,0,3,3,0,0,3,"Infield shift","Standard"
"FF","2020-09-07","95.2","-1.45","5.51","Anthony Rizzo",519203,670912,"field_out","hit_into_play",,,,,"5","Anthony Rizzo grounds out sharply, second baseman Kolten Wong to first baseman Paul Goldschmidt.  ","R","L","R","CHC","STL","X",4,"ground_ball",2,2,2020,"-0.30","1.00","0.03","2.57","null",543401,664023,2,4,"Bot","161.86","125.99",,,"425877",,"null",4.662763013112308,-138.55791882847694,-4.410536787893265,-4.861387198064826,30.89567186688565,-18.53625770702254,"3.56","1.73","15","102.1","-10","97.2","2354","7.4",631605,670912,"425877","502671","543939","572761","657557","641933","664056","669242","53.09","0.243","0.219","0.00",1,0,0,2,35,"5","4-Seam Fastball",3,0,3,0,0,3,3,0,"Strategic","Standard"
"FF","2020-09-07","94.0","-1.52","5.79","Anthony Rizzo",519203,670912,"grounded_into_double_play","hit_into_play_score",,,,,"5","Anthony Rizzo grounds into a double play, second baseman Kolten Wong to first baseman Paul Goldschmidt.   Ian Happ scores.    Kris Bryant out at 2nd.    Anthony Rizzo out at 1st.  ","R","L","R","CHC","STL","X",4,"ground_ball",2,2,2020,"-0.24","0.82","-0.15","2.43",664023,"null",592178,0,1,"Bot","143.45","151.05",,,"425877",,"null",4.165211038660709,-136.94889760042844,-4.988332454443903,-3.8157353053557452,26.55119648569492,-20.908984052547623,"3.56","1.73","12","93.1","-13","96.4","2257","7.3",631605,670912,"425877","502671","543939","572761","657557","641933","664056","669242","53.16","0.150","0.135","0.00",1,0,0,2,6,"7","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"SI","2020-09-06","93.5","-1.43","6.24","Anthony Rizzo",519203,641712,"field_out","hit_into_play",,,,,"13","Anthony Rizzo grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.   Kris Bryant to 2nd.  ","R","L","R","CHC","STL","X",6,"ground_ball",3,2,2020,"-1.10","0.91","-1.10","2.20","null","null",592178,1,5,"Bot","119.26","158.53",,,"425877",,"null",3.289090367506065,-136.01643599135375,-6.719627677473016,-14.428186637617422,28.477088423692166,-19.633916604547725,"3.56","1.73","24","75.1","-4","94.2","2183","6.6",631604,641712,"425877","502671","543939","669242","657557","641933","664056","657041","53.88","0.086","0.077","0.00",1,0,0,2,46,"6","Sinker",3,5,3,5,5,3,3,5,"Strategic","Strategic"
"FF","2020-09-05","89.7","-1.13","6.13","Anthony Rizzo",519203,425794,"field_out","hit_into_play",,,,,"9","Anthony Rizzo grounds out, first baseman Paul Goldschmidt to pitcher Adam Wainwright.  ","R","L","R","CHC","STL","X",3,"ground_ball",0,0,2020,"0.04","0.98","0.36","2.03","null","null","null",2,5,"Bot","155.63","154.24",,,"425877",,"null",3.6493585097168504,-130.65705501304112,-6.352810698060159,-0.16598517543778307,23.71141747463457,-19.90689129385032,"3.56","1.73","6","82.2","-24","91.2","2211","6.8",631607,425794,"425877","502671","543939","669242","657557","666185","664056","657041","53.68","0.100","0.100","0.00",1,0,0,2,48,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"CU","2020-09-05","74.2","-1.08","6.24","Anthony Rizzo",519203,425794,"field_out","hit_into_play",,,,,"14","Anthony Rizzo grounds out to first baseman Paul Goldschmidt.  ","R","L","R","CHC","STL","X",3,"ground_ball",0,2,2020,"1.40","-1.29","0.06","0.61","null","null","null",1,3,"Bot","155.68","169.94",,,"425877",,"null",-0.125775663497822,-107.86945085492042,-1.805749514601702,10.707638759137286,24.073787751329462,-41.8794136022465,"3.56","1.73","8","70.1","-11","73.7","2786","6.6",631607,425794,"425877","502671","543939","572761","657557","666185","657041","669242","53.87","0.079","0.071","0.00",1,0,0,2,29,"3","Curveball",1,2,1,2,2,1,1,2,"Infield shift","Standard"
